transactionId,userId,cardNumber,amount,location,date,time,cardType,merchant,payment_status,is_fraud
TX7992139,U3441,3253774273145959,195.24,Delhi,2022-04-15,20:40:33,Diners Club,Walmart,Success,no
TX5334737,U5463,5632781294574023,1621.48,Goa,2024-11-25,16:22:19,Diners Club,Shell,Success,yes
TX5718990,U6872,8704379388314391,1275.73,Kochi,2019-05-27,06:22:14,MasterCard,Shell,Success,no
TX9302802,U2451,7137515036717666,1946.33,Mandya,2021-06-24,05:48:05,RuPay,McDonald's,Success,no
TX7959270,U6096,4178063007229355,284.85,Mysore,2021-08-07,21:24:36,Visa,ExxonMobil,Success,no
TX3370100,U9655,0701672079088752,1023.92,Kolkata,2019-12-19,02:54:35,Diners Club,Flipkart,Failed,no
TX5420092,U6031,4757544653823622,638.89,Mysore,2021-10-10,10:48:59,RuPay,Flipkart,Success,no
TX6157428,U418,9915102746098582,1900.65,Leh,2018-12-31,12:53:04,Diners Club,ExxonMobil,Success,no
TX4780313,U5145,8409242534914711,1413.51,Mandya,2022-03-20,16:54:56,Diners Club,Walmart,Success,yes
TX5966280,U8389,5964006201657087,733.82,Delhi,2023-12-06,19:24:50,RuPay,Shell,Success,no
TX6759812,U3634,2934281305699645,509.72,Udaipur,2019-08-07,05:31:49,MasterCard,Amazon,Success,no
TX9161446,U1415,2111688283158363,487.88,Mandya,2021-08-04,01:53:23,Visa,Flipkart,Success,no
TX3919572,U5860,5633687323507032,1560.02,Varanasi,2018-05-25,00:17:31,Visa,Flipkart,Success,no
TX9053925,U1778,9581399271921843,792.39,Delhi,2018-05-25,11:01:12,Visa,Flipkart,Success,no
TX8667971,U9001,4989711432016717,1896.45,Delhi,2021-09-05,20:21:29,Visa,Walmart,Success,no
TX1901875,U925,7423147901390830,1943.96,Kolkata,2021-01-15,20:41:56,Diners Club,ExxonMobil,Success,yes
TX1591337,U7278,1117673777170353,674.89,Leh,2023-02-14,09:45:28,MasterCard,Target,Success,no
TX3694328,U9017,3145446528454704,250.69,Goa,2020-08-22,13:11:19,MasterCard,ExxonMobil,Success,no
TX9340247,U2979,2404235855608766,1739.57,Leh,2021-01-12,07:45:42,American Express,Apple Store,Failed,no
TX6044401,U9698,6895965449220704,1498.59,Delhi,2023-06-29,21:15:10,MasterCard,Apple Store,Success,no
TX9301169,U278,9414514307819468,1779.13,Jaipur,2022-02-10,10:47:19,American Express,Apple Store,Failed,no
TX7597070,U3184,0887546342399197,464.83,Mandya,2020-03-03,14:45:18,RuPay,Walmart,Success,yes
TX2808652,U3078,7812300904818328,1504.98,Kochi,2023-12-08,18:07:04,Diners Club,McDonald's,Success,no
TX2457878,U2039,5331868467317887,777.02,Varanasi,2022-09-20,22:28:49,Diners Club,Best Buy,Success,no
TX1106717,U6428,7262695024156381,349.4,Shillong,2020-04-11,04:38:29,RuPay,Amazon,Success,no
TX9143614,U3247,3091610001001839,1584.31,Kolkata,2023-07-25,14:05:59,Diners Club,McDonald's,Success,no
TX3712952,U8083,5259205140267468,1237.96,Shillong,2018-08-27,06:04:37,Visa,Target,Success,no
TX1597832,U2259,0184593132645823,1867.5,Goa,2024-09-09,11:05:11,American Express,Target,Failed,no
TX6351158,U3276,3441999016575931,822.02,Mandya,2023-06-16,11:37:41,MasterCard,Walmart,Success,no
TX2621842,U9479,3052880694007921,1235.09,Udaipur,2023-01-14,17:20:35,Visa,Starbucks,Success,no
TX5290081,U3565,0472585670038417,782.35,Hyderabad,2019-01-16,18:59:32,American Express,Walmart,Success,no
